State,StateAbbrev,OneAdultZeroKids,OneAdultOneKid,OneAdultTwoKids,OneAdultThreeKids,TwoAdultsZeroKids,TwoAdultsOneKid,TwoAdultsTwoKids,TwoAdultsThreeKids
Alabama,AL,13.77,27.06,33.09,42.01,11.15,14.92,18.42,21.09
Alaska,AK,15.06,29.86,37.09,48.86,11.69,16.34,20.40,24.64
Arizona,AZ,14.94,29.01,35.11,45.59,12.15,15.99,19.51,23.01
Arkansas,AR,13.29,28.23,34.85,44.48,11.25,15.54,19.35,22.33
California,CA,18.66,40.34,50.00,66.02,15.13,21.76,27.08,33.24
Colorado,CO,16.35,34.31,43.22,57.02,12.91,18.65,23.57,28.73
Connecticut,CT,15.98,33.11,41.28,53.50,12.75,17.98,22.55,27.00
Delaware,DE,15.32,32.17,39.67,50.91,12.33,17.50,21.75,25.54
District of Columbia,DC,20.12,38.48,47.89,62.25,14.88,20.69,25.90,31.21
Florida,FL,14.82,30.92,38.04,49.08,11.99,16.77,20.79,24.62
Georgia,GA,15.36,29.63,36.13,45.92,12.06,16.22,19.97,23.05
Hawaii,HI,19.43,38.57,46.74,62.26,15.06,20.85,25.42,31.36
Idaho,ID,13.95,27.94,34.47,44.75,11.67,15.52,19.27,22.60
Illinois,IL,15.37,31.16,38.88,49.98,12.29,16.98,21.34,25.08
Indiana,IN,13.44,27.23,33.24,42.20,11.08,14.99,18.49,21.19
Iowa,IA,13.62,29.18,36.96,47.61,11.57,16.04,20.48,23.90
Kansas,KS,13.51,28.39,35.17,45.15,11.27,15.59,19.48,22.67
Kentucky,KY,13.48,28.25,35.31,45.52,11.09,15.53,19.60,22.85
Louisiana,LA,14.06,29.61,36.18,45.82,11.64,16.21,19.99,23.00
Maine,ME,14.92,30.63,38.33,49.37,11.94,16.79,21.14,24.94
Maryland,MD,17.25,34.74,43.05,55.78,13.33,18.75,23.40,27.97
Massachusetts,MA,17.74,36.88,47.64,62.51,13.12,19.78,25.61,31.49
Michigan,MI,13.63,31.15,41.65,55.25,11.10,16.96,22.71,27.72
Minnesota,MN,14.90,31.33,39.42,51.50,12.32,17.10,21.68,25.85
Mississippi,MS,13.43,26.74,32.39,40.85,11.28,14.75,18.07,20.51
Missouri,MO,13.72,28.65,34.97,44.47,11.48,15.74,19.41,22.33
Montana,MT,13.94,29.63,37.54,49.03,11.53,16.35,20.79,24.74
Nebraska,NE,13.57,29.31,36.48,46.96,11.65,16.08,20.19,23.57
Nevada,NV,13.67,28.98,36.61,48.40,11.48,15.91,20.16,24.41
New Hampshire,NH,14.47,30.07,37.78,49.19,11.45,16.37,20.68,24.83
New Jersey,NJ,16.20,35.93,46.36,60.62,13.19,19.60,25.11,30.56
New Mexico,NM,13.97,28.65,35.31,45.43,11.66,15.82,19.62,22.93
New York,NY,18.62,36.00,45.44,59.11,13.73,19.50,24.66,29.81
North Carolina,NC,14.72,30.09,38.01,49.24,11.66,16.45,20.90,24.71
North Dakota,ND,13.08,27.73,34.71,45.25,10.86,15.22,19.20,22.72
Ohio,OH,13.16,28.58,36.55,47.76,10.94,15.66,20.28,23.97
Oklahoma,OK,13.53,28.23,34.90,44.72,11.25,15.50,19.33,22.45
Oregon,OR,16.85,33.07,40.58,53.41,13.26,18.11,22.37,26.94
Pennsylvania,PA,13.39,27.57,34.67,44.62,10.77,15.12,19.12,22.54
Rhode Island,RI,14.79,30.63,38.64,49.79,11.70,16.73,21.21,25.14
South Carolina,SC,14.58,29.81,35.67,44.75,12.07,16.33,19.76,22.46
South Dakota,SD,12.61,27.06,33.49,42.83,10.65,14.84,18.54,21.50
Tennessee,TN,13.25,26.30,32.10,40.89,10.72,14.45,17.82,20.53
Texas,TX,14.01,28.68,35.09,44.92,11.32,15.64,19.31,22.54
Utah,UT,14.52,29.56,36.67,47.85,11.99,16.28,20.31,24.15
Vermont,VT,14.93,31.77,39.96,52.38,12.18,17.34,22.20,26.45
Virginia,VA,16.61,32.80,40.91,53.05,12.57,17.78,22.33,26.61
Washington,WA,16.34,31.95,39.62,52.73,12.33,17.39,21.67,26.57
West Virginia,WV,13.38,28.20,35.93,46.39,11.17,15.60,19.87,23.28
Wisconsin,WI,14.02,30.17,38.61,50.30,11.49,16.51,21.24,25.25
Wyoming,WY,13.19,27.53,34.57,44.92,10.83,15.18,19.14,22.67
